timestamp,sender,receiver,performative,conversationId,content,level
2025-09-04 20:26:22,SYSTEM,SYSTEM,SYSTEM_STARTUP,system,Multi-Agent Booking System started. Log file: conversation_log_20250904_202622.csv,INFO
2025-09-04 20:26:30,GUI,customer,O2A_REQUEST,gui_request_1756992390618,GUI booking request: Batman: The Dark Knight at 10:00 for 1 tickets,INFO
2025-09-04 20:26:30,customer,SYSTEM,STATE_CHANGE,system,State changed from IDLE to REQUESTING_BOOKING,INFO
2025-09-04 20:26:30,customer,provider,BOOKING_REQUEST,movie_booking_1,Direct booking: Batman: The Dark Knight at 10:00 for seats A1,INFO
2025-09-04 20:26:30,customer,SYSTEM,STATE_CHANGE,movie_booking_1,State changed from REQUESTING_BOOKING to REQUESTING_BOOKING,INFO
2025-09-04 20:26:30,GUI,customer,BOOKING_REQUEST,gui_booking_1756992390626,Movie: Batman: The Dark Knight; Time: 10:00; Seats: A2; Class: VIP,INFO
2025-09-04 20:26:30,customer,provider,REQUEST,movie_booking_1,BOOKING:Time=10:00;Seats=A1;Class=VIP,INFO
2025-09-04 20:26:30,customer,provider,REQUEST,movie_booking_1,BOOKING:Time=10:00;Seats=A1;Class=VIP,INFO
2025-09-04 20:26:30,provider,customer,CONFIRM,movie_booking_1,Booking berhasil! Transaction ID: TXN_1; Kursi: ; Waktu: 10,INFO
2025-09-04 20:26:30,provider,customer,CONFIRM,movie_booking_1,Booking berhasil! Transaction ID: TXN_1; Kursi: ; Waktu: 10,INFO
2025-09-04 20:26:30,customer,SYSTEM,STATE_CHANGE,movie_booking_1,State changed from REQUESTING_BOOKING to BOOKING_COMPLETED,INFO
2025-09-04 20:26:30,customer,GUI,CONFIRMATION,movie_booking_1,Sending confirmation to GUI: SUCCESS - Booking berhasil! Transaction ID: TXN_1; Kursi: ; Waktu: 10,INFO
2025-09-04 20:26:33,GUI,customer,BOOKING_SUCCESS,gui_booking_1756992393793,Booking confirmed: Movie: Batman: The Dark Knight; Time: 10:00; Seats: A2; Class: VIP - Booking confirmed! 1 seat(s) booked successfully.,INFO
