timestamp,sender,receiver,performative,conversationId,content,level
2025-08-26 13:57:27,CUSTOMER,SYSTEM,BOOKING_CONFIRMED,cinema_booking_1756191447064,Movie: Batman vs Superman; Seats: F6;F4;F5; Time: 10:00; Date: 2025-08-26,INFO
2025-08-26 13:57:46,CUSTOMER,SYSTEM,BOOKING_CONFIRMED,cinema_booking_1756191466876,Movie: Batman vs Superman; Seats: A1;B2;A2; Time: 16:00; Date: 2025-08-26,INFO
timestamp,sender,receiver,performative,conversationId,content,level
2025-08-26 13:58:51,customer,provider,REQUEST,movie_booking_1,REQUEST_INFO:Film=Batman;Date=2025-08-25;Time=19:00;Class=VIP;Tickets=2,INFO
2025-08-26 13:58:51,customer,provider,REQUEST,movie_booking_1,REQUEST_INFO:Film=Batman;Date=2025-08-25;Time=19:00;Class=VIP;Tickets=2,INFO
2025-08-26 13:58:51,provider,customer,INFORM,movie_booking_1,Movie: Batman; Date: 2025-08-25; Showtimes: 10:00; 13:00; 16:00; 19:00; 22:00; Available  seats: ; Total available: 0,INFO
2025-08-26 13:58:51,provider,customer,INFORM,movie_booking_1,Movie: Batman; Date: 2025-08-25; Showtimes: 10:00; 13:00; 16:00; 19:00; 22:00; Available  seats: ; Total available: 0,INFO
2025-08-26 13:58:53,customer,provider,REQUEST,movie_booking_1,BOOKING:Time=19:00;Seats=A1;A2;Class=VIP,INFO
2025-08-26 13:58:53,customer,provider,REQUEST,movie_booking_1,BOOKING:Time=19:00;Seats=A1;A2;Class=VIP,INFO
2025-08-26 13:58:53,provider,customer,CONFIRM,movie_booking_1,Booking berhasil! Transaction ID: TXN_1; Kursi: ; Waktu: 19,INFO
2025-08-26 13:58:53,provider,customer,CONFIRM,movie_booking_1,Booking berhasil! Transaction ID: TXN_1; Kursi: ; Waktu: 19,INFO
timestamp,sender,receiver,performative,conversationId,content,level
2025-08-26 14:03:34,CUSTOMER,SYSTEM,BOOKING_CONFIRMED,cinema_booking_1756191814701,Movie: Batman vs Superman; Seats: E5;E6;E4; Time: 10:00; Date: 2025-08-26,INFO
